Datetime,PJME_MW
2012-01-01 00:00:00,18256.2
2012-01-01 01:00:00,17554.3
2012-01-01 02:00:00,17996.0
2012-01-01 03:00:00,18200.6
2012-01-01 04:00:00,18640.8
2012-01-01 05:00:00,19063.5
2012-01-01 06:00:00,19920.7
2012-01-01 07:00:00,19565.2
2012-01-01 08:00:00,19171.6
2012-01-01 09:00:00,20815.6
2012-01-01 10:00:00,21450.5
2012-01-01 11:00:00,21475.7
2012-01-01 12:00:00,21225.6
2012-01-01 13:00:00,22316.8
2012-01-01 14:00:00,21664.6
2012-01-01 15:00:00,21721.0
2012-01-01 16:00:00,21929.0
2012-01-01 17:00:00,22584.8
2012-01-01 18:00:00,22862.3
2012-01-01 19:00:00,21305.2
2012-01-01 20:00:00,20693.3
2012-01-01 21:00:00,20078.8
2012-01-01 22:00:00,19144.2
2012-01-01 23:00:00,18999.1
2012-01-02 00:00:00,20564.6
2012-01-02 01:00:00,21113.6
2012-01-02 02:00:00,19248.6
2012-01-02 03:00:00,20650.0
2012-01-02 04:00:00,20322.3
2012-01-02 05:00:00,20082.8
2012-01-02 06:00:00,21543.4
2012-01-02 07:00:00,21807.9
2012-01-02 08:00:00,21857.9
2012-01-02 09:00:00,21448.9
2012-01-02 10:00:00,21350.1
2012-01-02 11:00:00,22843.7
2012-01-02 12:00:00,23096.4
2012-01-02 13:00:00,23611.0
2012-01-02 14:00:00,22168.1
2012-01-02 15:00:00,23455.5
2012-01-02 16:00:00,22820.3
2012-01-02 17:00:00,21718.8
2012-01-02 18:00:00,21506.6
2012-01-02 19:00:00,22328.4
2012-01-02 20:00:00,22839.6
2012-01-02 21:00:00,21707.9
2012-01-02 22:00:00,21709.3
2012-01-02 23:00:00,21372.9
2012-01-03 00:00:00,20948.1
2012-01-03 01:00:00,23207.3
2012-01-03 02:00:00,22589.2
2012-01-03 03:00:00,23626.6
2012-01-03 04:00:00,23329.7
2012-01-03 05:00:00,22940.9
2012-01-03 06:00:00,24062.9
2012-01-03 07:00:00,25026.6
2012-01-03 08:00:00,26733.3
2012-01-03 09:00:00,24932.9
2012-01-03 10:00:00,24264.3
2012-01-03 11:00:00,23952.9
2012-01-03 12:00:00,23960.6
2012-01-03 13:00:00,24390.1
2012-01-03 14:00:00,27821.6
2012-01-03 15:00:00,23858.2
2012-01-03 16:00:00,23621.6
2012-01-03 17:00:00,22033.1
2012-01-03 18:00:00,21766.0
2012-01-03 19:00:00,22037.2
2012-01-03 20:00:00,24171.7
2012-01-03 21:00:00,25485.5
2012-01-03 22:00:00,23030.5
2012-01-03 23:00:00,24002.6
2012-01-04 00:00:00,22625.2
2012-01-04 01:00:00,23352.8
2012-01-04 02:00:00,21542.1
2012-01-04 03:00:00,21533.3
2012-01-04 04:00:00,21290.2
2012-01-04 05:00:00,22239.3
2012-01-04 06:00:00,20864.6
2012-01-04 07:00:00,21828.2
2012-01-04 08:00:00,20723.9
2012-01-04 09:00:00,21591.1
2012-01-04 10:00:00,22247.6
2012-01-04 11:00:00,22276.6
2012-01-04 12:00:00,23423.2
2012-01-04 13:00:00,22615.7
2012-01-04 14:00:00,22988.5
2012-01-04 15:00:00,22975.5
2012-01-04 16:00:00,24079.7
